step,time,step time (ms)
1110,2016-02-11T00:56:11.920239,11.0130310059
1120,2016-02-11T00:56:12.035393,11.4130973816
1130,2016-02-11T00:56:12.150599,11.4109516144
1140,2016-02-11T00:56:12.265923,10.8139514923
1150,2016-02-11T00:56:12.385895,10.9260082245
1160,2016-02-11T00:56:12.501307,10.4050636292
1170,2016-02-11T00:56:12.613419,10.60795784
1180,2016-02-11T00:56:12.732423,10.7848644257
1190,2016-02-11T00:56:12.863803,10.6098651886
1200,2016-02-11T00:56:12.980839,11.4920139313
1210,2016-02-11T00:56:13.095706,9.95802879333
1220,2016-02-11T00:56:13.210334,10.4651451111
1230,2016-02-11T00:56:13.325803,10.3378295898
1240,2016-02-11T00:56:13.438616,9.86695289612
1250,2016-02-11T00:56:13.554640,10.9989643097
1260,2016-02-11T00:56:13.667771,11.2149715424
1270,2016-02-11T00:56:13.790963,14.0521526337
1280,2016-02-11T00:56:13.975219,13.4370326996
1290,2016-02-11T00:56:14.113045,14.4329071045
1300,2016-02-11T00:56:14.241321,10.4570388794
1310,2016-02-11T00:56:14.353730,10.5199813843
1320,2016-02-11T00:56:14.485047,11.0981464386
1330,2016-02-11T00:56:14.625269,10.4241371155
1340,2016-02-11T00:56:14.740641,10.0581645966
1350,2016-02-11T00:56:14.908436,11.9209289551
1360,2016-02-11T00:56:15.024613,11.4941596985
1370,2016-02-11T00:56:15.141233,10.9651088715
1380,2016-02-11T00:56:15.257249,11.167049408
1390,2016-02-11T00:56:15.372707,11.5900039673
1400,2016-02-11T00:56:15.490616,10.7140541077
1410,2016-02-11T00:56:15.607409,10.8258724213
1420,2016-02-11T00:56:15.723360,10.9739303589
1430,2016-02-11T00:56:15.846272,11.5571022034
1440,2016-02-11T00:56:15.962382,11.1677646637
1450,2016-02-11T00:56:16.146239,19.4561481476
1460,2016-02-11T00:56:16.282639,11.6391181946
1470,2016-02-11T00:56:16.474238,23.973941803
1480,2016-02-11T00:56:16.687068,13.3860111237
1490,2016-02-11T00:56:16.827210,11.0120773315
1500,2016-02-11T00:56:23.258198,12.2780799866
1510,2016-02-11T00:56:23.374527,10.792016983
1520,2016-02-11T00:56:23.491128,11.2500190735
1530,2016-02-11T00:56:23.611674,11.7189884186
1540,2016-02-11T00:56:23.729942,11.5339756012
1550,2016-02-11T00:56:23.861908,11.3899707794
1560,2016-02-11T00:56:23.984898,10.9121799469
1570,2016-02-11T00:56:24.143489,22.2091674805
1580,2016-02-11T00:56:24.264760,11.2600326538
1590,2016-02-11T00:56:24.392056,12.3770236969
1600,2016-02-11T00:56:24.517384,11.5559101105
1610,2016-02-11T00:56:24.646655,11.8229389191
1620,2016-02-11T00:56:24.776235,12.5629901886
1630,2016-02-11T00:56:24.932747,12.8808021545
1640,2016-02-11T00:56:25.066006,11.803150177
1650,2016-02-11T00:56:25.823847,30.827999115
1660,2016-02-11T00:56:25.969430,15.8779621124
1670,2016-02-11T00:56:26.157279,13.0920410156
1680,2016-02-11T00:56:26.305325,12.9551887512
1690,2016-02-11T00:56:26.565721,24.2760181427
1700,2016-02-11T00:56:26.797055,17.2741413116
1710,2016-02-11T00:56:26.944036,13.3068561554
1720,2016-02-11T00:56:27.089029,15.044927597
1730,2016-02-11T00:56:27.239442,13.1840705872
1740,2016-02-11T00:56:27.395203,13.8459205627
1750,2016-02-11T00:56:27.549319,14.0340328217
1760,2016-02-11T00:56:27.701178,14.5239830017
1770,2016-02-11T00:56:27.884957,15.1810646057
1780,2016-02-11T00:56:28.042447,13.2901668549
1790,2016-02-11T00:56:28.201016,13.6811733246
1800,2016-02-11T00:56:28.357782,16.4859294891
1810,2016-02-11T00:56:28.515801,13.3619308472
1820,2016-02-11T00:56:28.677927,18.3298587799
1830,2016-02-11T00:56:28.851510,13.9920711517
1840,2016-02-11T00:56:29.013371,15.5990123749
1850,2016-02-11T00:56:29.173111,16.2889957428
1860,2016-02-11T00:56:29.344450,16.8409347534
1870,2016-02-11T00:56:29.510388,16.8178081512
1880,2016-02-11T00:56:29.674408,15.9080028534
1890,2016-02-11T00:56:29.863708,17.1949863434
1900,2016-02-11T00:56:30.033511,16.9098377228
1910,2016-02-11T00:56:30.198377,15.80119133
1920,2016-02-11T00:56:30.368814,18.4390544891
1930,2016-02-11T00:56:30.588260,24.8749256134
1940,2016-02-11T00:56:30.789164,18.6309814453
1950,2016-02-11T00:56:30.977844,17.6930427551
1960,2016-02-11T00:56:31.175418,16.7808532715
1970,2016-02-11T00:56:31.359841,19.7689533234
1980,2016-02-11T00:56:31.651386,30.3881168365
1990,2016-02-11T00:56:31.897999,17.6599025726
2000,2016-02-11T00:56:38.710355,15.3610706329
2010,2016-02-11T00:56:38.899430,15.5968666077
2020,2016-02-11T00:56:39.074933,16.7798995972
2030,2016-02-11T00:56:39.251737,14.7998332977
2040,2016-02-11T00:56:39.429788,16.3490772247
2050,2016-02-11T00:56:39.610164,19.9110507965
2060,2016-02-11T00:56:39.783383,15.5138969421
2070,2016-02-11T00:56:39.977283,18.8980102539
2080,2016-02-11T00:56:40.151151,14.7190093994
2090,2016-02-11T00:56:40.333958,15.8939361572
