INFO: 00:55:35 vae_mnist.py:392 Log written to /home/mren/code/img-count/results/vae_mnist-20160211005535/raw-20160211-005535.log
INFO: 00:55:35 vae_mnist.py:424 Curves can be viewed at: http://localhost/visualizer?id=vae_mnist-20160211005535
INFO: 00:55:35 vae_mnist.py:428 Command: vae_mnist.py
INFO: 00:55:36 vae_mnist.py:468 Running validation
INFO: 00:55:59 vae_mnist.py:533 720 logp -219.0900 t 10.51ms
INFO: 00:55:59 vae_mnist.py:533 730 logp -228.1269 t 10.55ms
INFO: 00:55:59 vae_mnist.py:533 740 logp -225.2730 t 11.19ms
INFO: 00:56:00 vae_mnist.py:533 750 logp -221.8702 t 10.67ms
INFO: 00:56:00 vae_mnist.py:533 760 logp -229.0929 t 11.46ms
INFO: 00:56:00 vae_mnist.py:533 770 logp -220.8642 t 10.10ms
INFO: 00:56:00 vae_mnist.py:533 780 logp -230.3926 t 11.13ms
INFO: 00:56:00 vae_mnist.py:533 790 logp -225.2978 t 10.46ms
INFO: 00:56:00 vae_mnist.py:533 800 logp -227.0643 t 10.48ms
INFO: 00:56:00 vae_mnist.py:533 810 logp -223.5976 t 10.64ms
INFO: 00:56:00 vae_mnist.py:533 820 logp -225.8643 t 11.03ms
INFO: 00:56:01 vae_mnist.py:533 830 logp -218.6853 t 10.92ms
INFO: 00:56:01 vae_mnist.py:533 840 logp -218.9943 t 10.75ms
INFO: 00:56:01 vae_mnist.py:533 850 logp -219.6683 t 10.21ms
INFO: 00:56:01 vae_mnist.py:533 860 logp -246.7759 t 14.54ms
INFO: 00:56:01 vae_mnist.py:533 870 logp -226.2146 t 19.44ms
INFO: 00:56:01 vae_mnist.py:533 880 logp -213.7545 t 23.17ms
INFO: 00:56:01 vae_mnist.py:533 890 logp -215.3481 t 10.33ms
INFO: 00:56:02 vae_mnist.py:533 900 logp -227.7240 t 12.22ms
INFO: 00:56:02 vae_mnist.py:533 910 logp -226.8425 t 11.15ms
INFO: 00:56:02 vae_mnist.py:533 920 logp -213.3158 t 10.80ms
INFO: 00:56:02 vae_mnist.py:533 930 logp -214.7623 t 10.82ms
INFO: 00:56:02 vae_mnist.py:533 940 logp -219.8018 t 10.34ms
INFO: 00:56:02 vae_mnist.py:533 950 logp -228.0908 t 11.14ms
INFO: 00:56:02 vae_mnist.py:533 960 logp -224.6813 t 11.88ms
INFO: 00:56:02 vae_mnist.py:533 970 logp -231.5257 t 11.59ms
INFO: 00:56:03 vae_mnist.py:533 980 logp -226.5983 t 11.12ms
INFO: 00:56:03 vae_mnist.py:533 990 logp -230.7690 t 10.15ms
INFO: 00:56:03 vae_mnist.py:468 Running validation
INFO: 00:56:03 vae_mnist.py:486 step 1000, valid logp -219.7842
INFO: 00:56:09 vae_mnist.py:533 1000 logp -223.0019 t 10.63ms
INFO: 00:56:09 vae_mnist.py:533 1010 logp -222.1255 t 12.06ms
INFO: 00:56:10 vae_mnist.py:533 1020 logp -216.3650 t 10.66ms
INFO: 00:56:10 vae_mnist.py:533 1030 logp -220.9782 t 10.86ms
INFO: 00:56:10 vae_mnist.py:533 1040 logp -220.2229 t 10.99ms
INFO: 00:56:10 vae_mnist.py:533 1050 logp -222.3100 t 10.28ms
INFO: 00:56:10 vae_mnist.py:533 1060 logp -229.5246 t 11.63ms
INFO: 00:56:10 vae_mnist.py:533 1070 logp -224.2384 t 12.53ms
INFO: 00:56:10 vae_mnist.py:533 1080 logp -216.5348 t 10.65ms
INFO: 00:56:10 vae_mnist.py:533 1090 logp -224.1777 t 10.88ms
INFO: 00:56:11 vae_mnist.py:533 1100 logp -217.0927 t 15.83ms
INFO: 00:56:11 vae_mnist.py:533 1110 logp -220.5344 t 11.01ms
INFO: 00:56:12 vae_mnist.py:533 1120 logp -201.8374 t 11.41ms
INFO: 00:56:12 vae_mnist.py:533 1130 logp -217.9602 t 11.41ms
INFO: 00:56:12 vae_mnist.py:533 1140 logp -212.9455 t 10.81ms
INFO: 00:56:12 vae_mnist.py:533 1150 logp -222.2206 t 10.93ms
INFO: 00:56:12 vae_mnist.py:533 1160 logp -213.3516 t 10.41ms
INFO: 00:56:12 vae_mnist.py:533 1170 logp -217.4240 t 10.61ms
INFO: 00:56:12 vae_mnist.py:533 1180 logp -218.4536 t 10.78ms
INFO: 00:56:12 vae_mnist.py:533 1190 logp -220.3252 t 10.61ms
INFO: 00:56:12 vae_mnist.py:533 1200 logp -215.6300 t 11.49ms
INFO: 00:56:13 vae_mnist.py:533 1210 logp -214.8815 t 9.96ms
INFO: 00:56:13 vae_mnist.py:533 1220 logp -221.3836 t 10.47ms
INFO: 00:56:13 vae_mnist.py:533 1230 logp -220.2276 t 10.34ms
INFO: 00:56:13 vae_mnist.py:533 1240 logp -211.6165 t 9.87ms
INFO: 00:56:13 vae_mnist.py:533 1250 logp -214.8411 t 11.00ms
INFO: 00:56:13 vae_mnist.py:533 1260 logp -212.4323 t 11.21ms
INFO: 00:56:13 vae_mnist.py:533 1270 logp -208.5078 t 14.05ms
INFO: 00:56:13 vae_mnist.py:533 1280 logp -213.1803 t 13.44ms
INFO: 00:56:14 vae_mnist.py:533 1290 logp -214.8124 t 14.43ms
INFO: 00:56:14 vae_mnist.py:533 1300 logp -218.0864 t 10.46ms
INFO: 00:56:14 vae_mnist.py:533 1310 logp -219.1717 t 10.52ms
INFO: 00:56:14 vae_mnist.py:533 1320 logp -211.8169 t 11.10ms
INFO: 00:56:14 vae_mnist.py:533 1330 logp -216.6649 t 10.42ms
INFO: 00:56:14 vae_mnist.py:533 1340 logp -215.8936 t 10.06ms
INFO: 00:56:14 vae_mnist.py:533 1350 logp -212.6725 t 11.92ms
INFO: 00:56:15 vae_mnist.py:533 1360 logp -214.9115 t 11.49ms
INFO: 00:56:15 vae_mnist.py:533 1370 logp -217.2482 t 10.97ms
INFO: 00:56:15 vae_mnist.py:533 1380 logp -213.6222 t 11.17ms
INFO: 00:56:15 vae_mnist.py:533 1390 logp -204.8465 t 11.59ms
INFO: 00:56:15 vae_mnist.py:533 1400 logp -211.4483 t 10.71ms
INFO: 00:56:15 vae_mnist.py:533 1410 logp -211.7828 t 10.83ms
INFO: 00:56:15 vae_mnist.py:533 1420 logp -213.9075 t 10.97ms
INFO: 00:56:15 vae_mnist.py:533 1430 logp -222.9776 t 11.56ms
INFO: 00:56:15 vae_mnist.py:533 1440 logp -214.4556 t 11.17ms
